"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"SUZLON",3460,52.38,49.13,181245.01,169989.8,-11255.21,-6.21,7.13,""
"SWELECTES",13,630.23,632.7,8193,8225.1,32.1,0.39,7.43,""
"TATAGOLD",961,15.18,14.69,14585.95,14117.09,-468.86,-3.21,1.24,""
"TATAPOWER",15,382.68,421.85,5740.25,6327.75,587.5,10.23,3,""
"TCS",14,2889.94,2554.4,40459.1,35761.6,-4697.5,-11.61,3.31,""
"TEJASNET",10,454.79,449.85,4547.85,4498.5,-49.35,-1.09,1.65,""
"THERMAX",2,3324.5,4085,6649,8170,1521,22.88,5.53,""
"TMCV",36,433.48,435.2,15605.35,15667.2,61.85,0.4,1.26,""
"TMPV",81,418.55,357.9,33902.66,28989.9,-4912.76,-14.49,3.59,""
"TRIDENT",2600,28.26,25.73,73485.3,66898,-6587.3,-8.96,2.14,""
"TTML",446,48.8,43.15,21765.74,19244.9,-2520.84,-11.58,3.58,""
"URBANCO",47,166.52,136.35,7826.57,6408.45,-1418.12,-18.12,0.81,""
"VBL",192,468.43,445.55,89938.05,85545.6,-4392.45,-4.88,3.47,""
"WAAREERTL",13,887.68,1039.45,11539.85,13512.85,1973,17.1,6.98,""
"WIPRO",25,196.68,209.8,4916.9,5245,328.1,6.67,3.35,""
"ZEEL",1735,102.73,82.72,178234.69,143519.2,-34715.49,-19.48,3.54,""
"ZENSARTECH",72,637.88,563.35,45927.35,40561.2,-5366.15,-11.68,2.48,""
"ZENTEC",80,1535.69,1517.5,122855.25,121400,-1455.25,-1.18,-0.46,""
